ko_id,ko_name,n_cells,fc_1-2,pval
KO:K15783,ectoine hydrolase [EC:3.5.4.44],4161,-10.817218,9.536604644858949e-290
KO:K18166,FAD-dependent oxidoreductase domain-containing protein 1,1882,-10.555458,1.1158577034316027e-284
KO:K00544,betaine-homocysteine S-methyltransferase [EC:2.1.1.5],4695,-10.038098,4.5943430278468084e-282
KO:K02134,F-type H+-transporting ATPase subunit delta,1603,-9.573505,6.733355872905092e-272
KO:K06869,uncharacterized protein,3715,-9.369837,1.293382584341497e-222
KO:K02322,DNA polymerase II large subunit [EC:2.7.7.7],4454,-9.33151,2.3000458981686483e-220
KO:K10725,archaeal cell division control protein 6,4266,-9.297725,1.4402244869807925e-216
KO:K00395,"adenylylsulfate reductase, subunit B [EC:1.8.99.2]",5195,-9.278118,1.063875803631607e-241
KO:K10018,octopine/nopaline transport system substrate-binding protein,3802,-9.269843,1.468052171028787e-282
KO:K10020,octopine/nopaline transport system permease protein,3672,-9.176397,8.306237603557015e-281
KO:K16842,allantoinase [EC:3.5.2.5],2641,-9.148624,1.4099298310347315e-252
KO:K01694,tryptophan synthase [EC:4.2.1.20],3446,-8.9475975,1.0879362336675291e-212
KO:K04030,ethanolamine utilization protein EutQ,3436,-8.922129,2.815134299456174e-240
KO:K12875,apoptotic chromatin condensation inducer in the nucleus,1858,-8.89878,1.4103392069262116e-200
KO:K09890,alternative ribosome-rescue factor,1487,-8.876183,2.438441506319031e-219
KO:K07041,uncharacterized protein,4610,-8.838624,6.496377087172772e-219
KO:K13609,delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21],3846,-8.830345,2.4420777188904726e-283
KO:K08975,putative membrane protein,3699,-8.826801,3.859325514790461e-228
KO:K15888,"tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific] [EC:2.5.1.89]",4056,-8.823793,6.985921194616313e-260
KO:K15737,glutarate dioxygenase [EC:1.14.11.64],2318,-8.796452,2.964432392044097e-248
KO:K06863,5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23],4465,-8.725994,6.500425770926821e-211
KO:K00394,"adenylylsulfate reductase, subunit A [EC:1.8.99.2]",5606,-8.670591,6.741470348314427e-245
KO:K17104,phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41],3910,-8.62797,6.373180086842059e-226
