ko_id,ko_name,n_cells,kruskal_pval,dunns_1-2,dunns_1-3,dunns_2-3,fc_1-2,fc_1-3,fc_2-3,minfc_1,minfc_2,minfc_3,maxp_1,maxp_2,maxp_3,r,p
KO:K15898,pseudaminic acid synthase [EC:2.5.1.97],4728,0.0,0.0,0.0,0.006130605121671759,-4.7630196,-4.9506187,-0.18759918,-4.9506187,-0.18759918,0.18759918,0.0,0.006130605121671759,0.006130605121671759,-0.6948007268208638,0.0
KO:K00348,Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1],4265,0.0,0.0,0.0,0.0005353619980589994,-8.851022,-8.937005,-0.08598328,-8.937005,-0.08598328,0.08598328,0.0,0.0005353619980589994,0.0005353619980589994,-0.6930340144128128,0.0
KO:K03502,DNA polymerase V,6356,0.0,0.0,9.815371403905433e-216,3.282525366151226e-65,-4.5473576,-2.90429,1.6430674,-4.5473576,1.6430674,-1.6430674,9.815371403905433e-216,3.282525366151226e-65,3.282525366151226e-65,-0.6924575818631624,0.0
KO:K00347,Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1],4408,0.0,0.0,0.0,0.00016650618483699716,-8.858835,-8.956444,-0.09760857,-8.956444,-0.09760857,0.09760857,0.0,0.00016650618483699716,0.00016650618483699716,-0.6900845742246687,0.0
KO:K17398,DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37],3374,0.0,0.0,1.3897470509907174e-217,1.0531619043598468e-28,-7.2794824,-5.378684,1.9007986,-7.2794824,1.9007986,-1.9007986,1.3897470509907174e-217,1.0531619043598468e-28,1.0531619043598468e-28,-0.6900257387901454,0.0
KO:K00350,Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1],4284,0.0,0.0,0.0,0.0016167555446434962,-8.760611,-8.95226,-0.19164991,-8.95226,-0.19164991,0.19164991,0.0,0.0016167555446434962,0.0016167555446434962,-0.6891801325528344,0.0
KO:K00349,Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1],4287,0.0,0.0,0.0,0.0010745215345008272,-8.8361225,-8.934454,-0.0983305,-8.934454,-0.0983305,0.0983305,0.0,0.0010745215345008272,0.0010745215345008272,-0.6882919024874784,0.0
KO:K08974,putative membrane protein,3790,0.0,0.0,0.0,0.0060254121878407525,-9.872056,-9.781771,0.0902853,-9.872056,0.0902853,-0.0902853,0.0,0.0060254121878407525,0.0060254121878407525,-0.6857342229176593,0.0
KO:K00346,Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1],4345,0.0,0.0,0.0,1.0318419310902816e-16,-8.917508,-8.465691,0.4518175,-8.917508,0.4518175,-0.4518175,0.0,1.0318419310902816e-16,1.0318419310902816e-16,-0.6811879133979213,0.0
KO:K03803,sigma-E factor negative regulatory protein RseC,4344,0.0,0.0,0.0,9.33772202592646e-17,-7.779212,-9.148166,-1.3689537,-9.148166,-1.3689537,1.3689537,0.0,9.33772202592646e-17,9.33772202592646e-17,-0.6744728408114117,0.0
KO:K03503,DNA polymerase V [EC:3.4.21.-],6013,0.0,0.0,4.089953908902032e-155,1.519529850247231e-113,-5.241183,-2.9678621,2.2733207,-5.241183,2.2733207,-2.2733207,4.089953908902032e-155,1.519529850247231e-113,1.519529850247231e-113,-0.6697030579472991,0.0
KO:K12585,exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-],4026,0.0,0.0,5.971408348447364e-57,9.160328271056284e-193,-6.4556284,-2.7710996,3.6845284,-6.4556284,3.6845284,-3.6845284,5.971408348447364e-57,9.160328271056284e-193,5.971408348447364e-57,-0.6584122241087588,0.0
KO:K10756,replication factor C subunit 3/5,3684,0.0,0.0,1.504827689533114e-37,1.2759611763270824e-234,-7.9177227,-2.155593,5.76213,-7.9177227,5.76213,-5.76213,1.504827689533114e-37,1.2759611763270824e-234,1.504827689533114e-37,-0.6570873743400419,0.0
KO:K16053,miniconductance mechanosensitive channel,4561,0.0,0.0,4.3788036538914325e-268,7.303692679025605e-06,-7.510187,-7.288004,0.22218323,-7.510187,0.22218323,-0.22218323,4.3788036538914325e-268,7.303692679025605e-06,7.303692679025605e-06,-0.6560645355741238,0.0
KO:K01573,oxaloacetate decarboxylase (Na+ extruding) subunit gamma,2612,0.0,0.0,1.7979602134889054e-226,0.012351604426125547,-7.3221025,-6.2139134,1.1081891,-7.3221025,1.1081891,-1.1081891,1.7979602134889054e-226,0.012351604426125547,0.012351604426125547,-0.6524061026187388,0.0
KO:K00351,Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1],5418,0.0,0.0,0.0,0.6421101170596439,-5.2525206,-5.48871,-0.23618937,-5.48871,-0.23618937,0.23618937,0.0,0.6421101170596439,0.6421101170596439,-0.6495235353862441,0.0
KO:K09860,outer membrane protein FlgP,2836,0.0,0.0,3.7674027171484936e-80,6.216446147827796e-167,-9.233196,-2.5022154,6.7309813,-9.233196,6.7309813,-6.7309813,3.7674027171484936e-80,6.216446147827796e-167,3.7674027171484936e-80,-0.6419735611616713,0.0
